,Booking date,Quantity,Customer ID,Product ID,Channel,Landingpage,Channel_Name,Booking Sequence,Previous Booking date,Previous Product ID,Previous Channel,Previous Channel_Name,Previous Landingpage
169,09.01.2018,2,96,365,1,1,Affiliate A,2,08.11.2018,311.0,1.0,Affiliate A,1.0
170,09.11.2018,2,96,32,0,0,CRM,3,09.01.2018,365.0,1.0,Affiliate A,1.0
171,15.12.2016,2,96,122,0,0,CRM,4,09.11.2018,32.0,0.0,CRM,0.0
172,23.11.2015,2,96,353,3,3,SEA,5,15.12.2016,122.0,0.0,CRM,0.0
173,22.08.2019,2,97,86,6,24,Affiliate C,1,,,,,
174,28.01.2016,1,98,89,3,3,SEA,1,,,,,
175,23.10.2017,2,99,154,3,3,SEA,1,,,,,
176,01.10.2017,2,100,540,2,2,Direct,1,,,,,
177,05.09.2018,2,100,359,0,0,CRM,2,01.10.2017,540.0,2.0,Direct,2.0
178,02.09.2018,2,101,23,0,0,CRM,1,,,,,
179,15.10.2016,2,101,15,3,4,SEA,2,02.09.2018,23.0,0.0,CRM,0.0
180,20.04.2018,2,101,462,0,0,CRM,3,15.10.2016,15.0,3.0,SEA,4.0
181,22.09.2017,2,101,11,0,0,CRM,4,20.04.2018,462.0,0.0,CRM,0.0
182,03.11.2017,2,102,155,4,8,Store,1,,,,,
183,12.03.2019,2,103,23,4,8,Store,1,,,,,
184,11.01.2017,2,104,97,3,3,SEA,1,,,,,
185,29.06.2017,2,104,330,3,3,SEA,2,11.01.2017,97.0,3.0,SEA,3.0
186,29.12.2017,2,104,207,0,0,CRM,3,29.06.2017,330.0,3.0,SEA,3.0
187,14.02.2017,1,105,42,3,4,SEA,1,,,,,
188,13.08.2016,2,106,346,0,0,CRM,1,,,,,
189,17.01.2016,2,106,124,3,3,SEA,2,13.08.2016,346.0,0.0,CRM,0.0
190,23.09.2018,1,106,238,0,0,CRM,3,17.01.2016,124.0,3.0,SEA,3.0
191,10.01.2018,2,107,11,3,3,SEA,1,,,,,
192,14.03.2019,2,108,54,4,15,Store,1,,,,,
193,03.07.2019,2,109,142,4,7,Store,1,,,,,
194,03.10.2018,2,109,216,0,0,CRM,2,03.07.2019,142.0,4.0,Store,7.0
195,07.05.2018,2,109,66,4,7,Store,3,03.10.2018,216.0,0.0,CRM,0.0
196,17.09.2018,2,109,238,0,0,CRM,4,07.05.2018,66.0,4.0,Store,7.0
